piece,side,x,y
piece_0,side_0,601,265
piece_0,side_0,601,266
piece_0,side_0,601,267
piece_0,side_0,601,268
piece_0,side_0,601,269
piece_0,side_0,601,270
piece_0,side_0,601,271
piece_0,side_0,601,272
piece_0,side_0,601,273
piece_0,side_0,601,274
piece_0,side_0,601,275
piece_0,side_0,601,276
piece_0,side_0,601,277
piece_0,side_0,601,278
piece_0,side_0,601,279
piece_0,side_0,601,280
piece_0,side_0,601,281
piece_0,side_0,601,282
piece_0,side_0,601,283
piece_0,side_0,601,284
piece_0,side_0,601,285
piece_0,side_0,601,286
piece_0,side_0,601,287
piece_0,side_0,601,288
piece_0,side_0,601,289
piece_0,side_0,601,290
piece_0,side_0,601,291
piece_0,side_0,601,292
piece_0,side_0,601,293
piece_0,side_0,601,294
piece_0,side_0,601,295
piece_0,side_0,601,296
piece_0,side_0,601,297
piece_0,side_0,601,298
piece_0,side_0,601,299
piece_0,side_0,601,300
piece_0,side_0,600,301
piece_0,side_0,600,302
piece_0,side_0,600,303
piece_0,side_0,599,304
piece_0,side_0,599,305
piece_0,side_0,598,305
piece_0,side_0,597,306
piece_0,side_0,596,306
piece_0,side_0,595,306
piece_0,side_0,594,306
piece_0,side_0,593,305
piece_0,side_0,592,305
piece_0,side_0,591,305
piece_0,side_0,591,304
piece_0,side_0,590,304
piece_0,side_0,590,303
piece_0,side_0,589,303
piece_0,side_0,588,302
piece_0,side_0,587,302
piece_0,side_0,587,301
piece_0,side_0,586,301
piece_0,side_0,586,300
piece_0,side_0,585,300
piece_0,side_0,585,299
piece_0,side_0,584,299
piece_0,side_0,583,298
piece_0,side_0,582,298
piece_0,side_0,582,297
piece_0,side_0,581,297
piece_0,side_0,581,296
piece_0,side_0,580,296
piece_0,side_0,579,295
piece_0,side_0,578,295
piece_0,side_0,577,295
piece_0,side_0,576,295
piece_0,side_0,575,295
piece_0,side_0,574,295
piece_0,side_0,573,295
piece_0,side_0,572,296
piece_0,side_0,571,296
piece_0,side_0,570,297
piece_0,side_0,569,297
piece_0,side_0,568,298
piece_0,side_0,567,298
piece_0,side_0,567,299
piece_0,side_0,566,299
piece_0,side_0,566,300
piece_0,side_0,565,300
piece_0,side_0,565,301
piece_0,side_0,564,302
piece_0,side_0,564,303
piece_0,side_0,563,304
piece_0,side_0,563,305
piece_0,side_0,562,306
piece_0,side_0,562,307
piece_0,side_0,562,308
piece_0,side_0,561,309
